resource,noun,verb,condition,sequence,talker,refNoun,refVerb,refCond,en,he,comments
12,1,1,0,1,99,31,4,0,Thick bushes block your path to the south.,שיחים סבוכים חוסמים את דרכך דרומה.,
120,1,34,0,1,99,112,32,127,You eat the Magic Acorn.  It tastes terrible.  Better stick to real food next time.,אתה אוכל את הבלוט הקסום. יש לזה טעם נוראי. כדאי שתדבוק באוכל אמיתי בפעם הבאה.,
120,1,42,0,1,99,127,32,127,That would make a pretty silly-looking hat.,נראה שזה יכול לשמש ככובע טפשי למראה.,
120,1,44,0,1,99,127,32,127,"Inscribed on the bottom you read,
""Property of John B. Nimble."" ","אתה קורא את החריטה על התחתית:
""רכושו של ג'ון הזריז.""",
120,1,46,0,1,99,127,32,127,You absent-mindedly clean your fingernails with one of the Cheetaur's claws.,מבלי משים אתה מנקה את ציפורניך עם אחד הטפרים של הברדלסילן.,
120,1,25,0,1,99,47,32,47,You don't feel anything.  Perhaps this was not the correct way to use this potion.,אינך חש בדבר. אולי זאת לא היתה הדרך הנכונה להשתמש בשיקוי.,
120,1,4,0,1,99,47,32,47,You do a quick equipment check.  Everything seems to be in place.,אתה עורך סריקת ציוד זריזה. נראה שכל דבר מונח במקומו.,
120,1,38,0,1,99,127,32,127,You sprinkle just a smidge of the magical dust on and about your person...,אתה זורה חופן קל של האבקה הקסומה על עצמך...,
120,1,38,0,2,99,127,32,127,... and try to fly.  But it appears that none of those Fairies was named Tinker Bell.,...ומנסה לעוף. אולם נראה שאין בין הפיות אחת בשם טינקרבל.,
120,1,21,0,1,99,127,32,127,It's empty.  Maybe you should recycle it.,ריק. אולי תשקול למחזרו.,
120,1,36,0,1,99,127,32,127,Your mother always told you to stop and smell the flowers.,אמך תמיד אמרה לך לעצור ולהריח את הפרחים.,
120,1,39,0,1,99,127,32,127,"You drink the clear water from the flask, draining it completely. ",אתה גומע את המים הצלולים מהבקבוקון ומרוקן אותו לגמרי.,
120,1,32,0,1,99,127,32,127,You eat some of the apples.  They actually taste quite good.,אתה אוכל מספר תפוחים. הם לא רעים בכלל.,
120,1,29,0,1,99,112,223,112,You feel a tingling sensation as you rub the unguent all over your body.,אתה חש בעקצוץ כאשר אתה מורח את המשחה על גופך.,"כאן ובכל מקום בהמשך הפכתי שתי נקודות (לא תקני) לנקודה אחת או שלוש נקודות, לפי המשמעות"
120,1,37,0,1,99,112,223,112,It would make a great coat for a Leprechaun.,זה יכל להיות מעיל מצויין. אם היית ליפריקון.,
120,1,22,0,1,99,127,32,127,The drink soothes as it goes down.,המשקה מרגיע כאשר אתה גומע אותו.,
120,1,26,0,1,99,127,32,127,"You fought so hard for this key, you just can't bear to part with it. ",נלחמת יותר מדי עבור המפתח הזה. פשוט אינך מסוגל להיפרד ממנו.,
120,1,14,0,1,99,127,32,127,The leather makes you think kinky thoughts.  (And you wondered why adventurers dress up this way.),העור מעורר בך מחשבות שובבות (העיקר שתמהת מדוע הרפתקנים מתלבשים כך).,כאן ובכל מקום בהמשך שמתי נקודה בסוף משפט (היכן שרלוונטי)
120,1,17,0,1,99,127,205,127,You delicately insert the lockpick into your left nostril.,"בזהירות ובעדינות, אתה מכניס את פורץ המנעולים אל הנחיר השמאלי שלך.",
120,1,17,1,1,99,127,205,127,Success!  Your nose is now open.,הצלחה! האף שלך פתוח עכשיו.,
120,1,17,2,1,99,127,205,127,"Unfortunately, you push it in too far, causing yourself a cerebral hemorrhage.  Guess you should have practiced some more on less difficult locks.",לרוע המזל דחפת אותו עמוק מדי וגרמת לעצמך לדימום פנימי במוח. כנראה שהיית צריך להתאמן על מנעולים פחות קשים.,
120,1,17,2,2,99,127,205,127,The surgeon general warns . . .,המנתח הראשי מזהיר...,"מזהיר, זה הווה"
120,1,1,0,1,99,127,205,127,Whatta guy!!,איזה גבר!,
120,1,27,0,1,99,127,205,127,You pause to admire the way the gem glows with its own inner light.,"אתה עוצר ובוחן את אבן החן, הזורחת באור משל עצמה.",
120,1,13,0,1,99,127,205,127,"What's this?  A chink in your armor?  No, it's just a rust spot. ",מה זה? פגם בשריונך? לא. זו רק חלודה נקודתית.,
120,1,23,0,1,99,127,205,127,The drink burns as it goes down.,המשקה שורף כשאתה גומע אותו.,
120,1,31,0,1,99,48,101,48,Baba Yaga is welcome to it!  If it tastes half as bad as it smells...,אם הטעם גרוע כמו חצי מכמה שהריח של זה גרוע - באבא יאגה מוזמנת לקחת את זה!,
120,1,30,0,1,99,48,58,48,"You foxy devil, you! ",שועל שכמוך!,
120,1,40,3,1,99,48,32,127,"That's funny.  I could have sworn I warned you about eating too many Magic Mushrooms.  Your mind permanently warped, you die a garishly polka-dotted death.   ",מצחיק. הייתי בטוח שהזהרתי אותך מפני אכילה מוגזמת של פטריות קסומות. דעתך נטרפה באופן בלתי הפיך. אתה מת מוות מנוקד. ,
120,1,40,3,2,99,31,46,31,Where did all the pretty horses go?,לאן כל הסוסים היפים נעלמו?,
120,1,40,3,3,99,31,32,31,"Hmm, that was interesting.  But it would probably not be a good idea to repeat the experience.   ","המממ, זה היה מעניין. אולם אין זה רעיון טוב לחזור על הניסוי.",
120,1,40,4,1,99,31,32,31,You don't need to do that right now.,אינך צריך זאת כרגע.,
120,1,40,5,3,99,31,32,31,Your senses gradually return to normal.,חושיך חוזרים הדרגתית למצבם הטבעי.,
120,1,40,6,1,99,31,32,31,You ingest a few of the mushrooms from the Faery Ring.  They taste delicious.,אתה זולל מספר פטריות ממעגל הפיות. טעמן מעולה.,
120,1,40,6,2,99,127,186,127,Wow!  Look at all the nice paisley horses!,ואוו! תראו את כל הסוסים הצבעוניים הנחמדים.,
120,1,40,6,3,99,48,40,48,Not to mention the beautiful neon sky.,שלא לדבר על השמים הזרחניים.,
120,1,40,7,1,99,48,117,62,"The mushrooms from the Fairy Ring are pretty good, so you hear.  However, when they're mixed with Kobold toadstools...that's a horse of a different color.","שמעת כי טעמן של פטריות ממעגלי פיות אינו רע בכלל. עם זאת, כאשר מערבבים אותן עם פטריות רעל קובולדיות... יהיה זה סוס בצבע אחר.",
120,1,40,7,2,99,48,116,48,"You eat some of the Kobold's fungus.  Within seconds your insides feel like they're on fire.  Guess you're not a Kobold, huh? ","אתה אוכל כמה מהפטריות של הקובולד. תוך מספר שניות אתה מרגיש כאילו בוערת בך אש מבפנים. עושה רושם שאתה לא קובולד, הא?",
120,1,40,7,3,99,48,101,48,Didn't anyone warn you about eating other people's food?  Death by Toadstools doesn't leave mushroom for improvement.,אף פעם לא הזהירו אותך לא לאכול אוכל של אחרים? מוות מפטריות רעל אינו פוטר אותך מאחריות.,
120,1,40,7,4,99,127,32,127,You think that you'd better take it easy for a while until you recover.,אתה רושם לעצמך לקחת את העניין בקלות עד שתתאושש.,
120,1,43,0,1,99,127,32,127,"Play it again, Ludwig. ","שחק אותה שוב, לודוויג.",
120,1,53,0,1,99,127,32,127,You read it again and puzzle over its meaning.,אתה קורא את זה שוב ושוב ותמה למה התכוון המשורר.,
120,1,45,0,1,99,127,32,127,"They're nice, but they don't go with your outfit. ","הם נחמדים, אבל לא מתאימים לתלבושת שלך.",
120,1,11,0,1,99,127,32,127,The rations are tasteless but filling.,מנות המזון תפלות אך משביעות.,
120,1,28,0,1,99,127,32,127,It's not your size.,זה לא במידה שלך.,
120,1,35,0,1,99,127,32,127,"After wiping the plant saliva from it, you examine the large seed. ","לאחר שאתה מנגב מעליך את הריר הצמחי, אתה בוחן את הגלעין הענק.",
120,1,15,0,1,99,127,32,127,That wasn't quite what the Surgeon General meant when he suggested you use a shield.,זה לא בדיוק מה שהתכוון המנתח הראשי כשהציע לך להשתמש במגן.,
120,1,10,0,1,99,127,32,127,"You check to see if your money's still there.
Yep, it is. ","אתה ממשמש בכיסיך בחשש שמא הכסף נעלם ואיננו.
יופי, הוא עדיין שם.",
120,1,24,0,1,99,127,32,127,The drink is invigorating.,המשקה מרענן.,
120,1,12,0,1,99,127,32,127,"You prepare to fall on your sword, but you finally decide that it would be uncomfortable. ","אתה מתכונן ליפול על חרבך, אולם לבסוף אתה מחליט שיש בזה חוסר נוחות מסויימת.",
120,1,18,0,1,99,127,32,127,You remain amazed at the number and versatility of the little gimcracks and thingamabobs inside your thief's tool kit.,אתה קופא בתדהמה מול מספרם ורבגוניותם של מיני הסדקית והמה-שמם הגודשים את ערכת הגנבים שלך.,
120,1,19,0,1,99,127,32,127,The picture on your thief's license doesn't look a bit like you.,התמונה המתנוססת על רישיון הגנב שלך אינה דומה לך בכהוא זה.,
120,1,47,0,1,99,127,32,127,"You try on the troll beard, but the goat-like smell convinces you to remain clean-shaven for a while. ","אתה מודד את זקן הטרול, אולם צחנת העיזים העזה משכנעת אותך להישאר מגולח למשעי בתקופה הקרובה.",
120,1,41,0,1,99,127,32,127,The vase makes an even worse hat than the candelabra.,כובע האגרטל נראה עליך אפילו יותר גרוע ממנורת הקנים.,
120,1,33,0,1,99,127,32,127,"You eat some vegetables.  You think they would have been better saved for cows or horses.
Real Heroes eat preserved dry rations.",אתה בולס כמה ירקות. חולף בך הרהור כי מוטב לשמור אותם לפרות ולסוסים. גיבורים אמיתיים אוכלים מזון משומר יבש.,"שיניתי ללשמור אותם, לשומרם קצת רשמי ומוזר"
120,1,2,0,1,99,127,186,127,"Mumble, mumble... overworked... mumble... underpaid... mumble, mumble... no control over my life... ",פטפוט שמפטפוט... עובד קשה מדי... פטפוט... לא משלמים לי מספיק על זה... שמפטפוט... לא שולט בחיים שלי...,
121,1,0,0,1,99,40,4,0,You pour the contents of the flask all over.  Maybe you're not doing this right.,אתה מרוקן את כל תכולת הבקבוקון. אולי אתה לא עושה את זה נכון.,"""מרוקן אל קרבה"" זה לא המשמעות להבנתי"
121,1,0,0,2,99,46,168,45,There's no point in trying to use one of those there.,אין טעם לנסות שם את הדברים האלה.,
121,1,1,0,1,99,28,5,0,It's not much to look at.,אין יותר מדי מה לראות.,
121,1,2,0,1,99,45,112,101,To whom were you trying to speak?,עם מי ניסית לדבר?,
121,1,4,0,1,99,100,32,100,There's nothing to do there.,אין מה לעשות שם.,
121,1,10,0,1,99,104,101,32,Your money's no good here.,ממונך אינו שווה כאן מאומה.,"הערה כללית: התרגום הוא בעברית רשמית בטירוף. אני מניח שזה סביר ושאין מה לשנות עכשיו הכול, אבל למשל כאן אני לא רואה למה לא לכתוב ""הכסף שלך לא שווה כאן כלום"" או משהו כזה"
121,1,12,0,1,99,89,111,117,"Aggressive, aren't you?","נהיית לנו אגרסיבי, אה?",
121,1,17,0,1,99,119,97,110,"Picky, picky, picky.","בררן, בררן, בררן.",
121,1,26,0,1,99,32,116,104,"You fought so hard for this key, you just can't bear to part with it.","נלחמת בעוז למען המפתח הזה, אתה פשוט לא מסוגל להיפרד ממנו.",
121,1,42,0,1,99,108,108,101,"You might be able to get some money for the candelabra, but, other than that, it's useless.","יתכן שתקבל כמה פרוטות תמורת מנורת הקנים, אבל, פרט לכך, היא חסרת כל ערך.",
13,1,1,0,1,99,69,69,67,There is a cave entrance large enough to admit a man.,יש פתח במערה שגדול מספיק למעבר אדם.,"זו לא ממש המשמעות, אפשר לשנות ל""יש פתח במערה שגדול מספיק למעבר אדם."""
13,2,42,1,1,99,42,67,67,It's already closed.,זה כבר פתוח.,
13,2,44,1,1,99,66,67,66,It's already closed.,זה כבר פתוח.,
13,2,26,1,1,99,67,67,66,The chest is already open.,התיבה כבר פתוחה.,
13,2,26,2,1,99,67,66,66,You don't have the right tools -- you'll have to find another way to open it.,אין עליך את הציוד המתאים -- יהיה עליך למצוא דרך חילופית בכדי לפתוח אותה.,החלפתי כל מקום שהיה בו שני מקפים קצרים (לא תקני למיטב ידיעתי) במקף ארוך
13,2,17,1,1,99,68,70,69,The chest is already open.,התיבה כבר פתוחה.,
13,2,17,2,1,99,69,70,67,It's locked -- you'll have to use another skill to open this.,היא נעולה -- תצטרך להיעזר במיומנות אחרת על מנת לפתוח אותה.,
13,2,1,4,1,99,66,42,42,"The dead Ogre's chest lies open, its contents glittering brightly.","תיבת העוג המת מוטלת כשהיא פתוחה לרווחה, תכולתה מנצנצת מול קרני השמש.",
13,2,1,1,1,99,68,67,66,The dead Ogre's chest lies open and empty.,תיבת העוג המת מוטלת על הקרקע פתוחה וריקה.,
13,2,20,0,1,99,69,67,66,It's already closed.,זה כבר פתוח.,
13,2,12,0,1,99,67,67,60,It's already closed.,זה כבר פתוח.,
13,2,18,1,1,99,70,69,71,The chest is already open.,התיבה כבר פתוחה.,
13,2,18,2,1,99,67,66,69,It's locked -- you'll have to use another skill to open this.,היא נעולה -- תצטרך להיעזר במיומנות אחרת על מנת לפתוח אותה.,
13,3,80,5,1,99,69,69,67,How much more calm can he get?,כמה עוד רגוע הוא יכול להיות?,
13,3,80,6,1,99,66,67,67,You've wasted a spell.,בזבזת לחש.,
13,3,42,1,1,99,42,67,67,It's already closed.,זה כבר פתוח.,
13,3,56,1,1,99,67,69,60,It's already closed.,זה כבר פתוח.,
13,3,16,0,1,99,67,0,66,You don't have a knife.,אין לך סכין.,
13,3,16,7,1,99,67,68,69,The Ogre is already dead.  It would do no good to kill him again.,העוג כבר מת. לא תפיק שום תועלת מלהרוג אותו שוב.,
13,3,78,5,1,99,67,61,69,"Ok, he'll be a dazzled cadaver.","טוב, הוא יהיה גוויה מסונוורת.",
13,3,78,6,1,99,61,66,67,You've wasted a spell.,בזבזת לחש.,
13,3,4,8,1,99,61,69,64,"You're kidding, right?","אתה צוחק, כן?",
13,3,4,5,1,99,66,67,61,There is a dead Ogre here.,יש כאן עוג מת.,
13,3,26,0,1,99,0,0,31,You don't have the right tools -- you'll have to find another way to open it.,אין עליך את הכלים המתאימים -- יהיה עליך למצוא דרך אחרת בכדי לפתוח אותה.,
13,3,26,1,1,99,69,64,70,The chest is already open.,התיבה כבר פתוחה,
13,3,17,1,1,99,3,67,2,The chest is already open.,התיבה כבר פתוחה,
13,3,17,2,1,99,68,67,66,It's locked -- you'll have to use another skill to open this.,היא נעולה -- תצטרך להיעזר במיומנות אחרת על מנת לפתוח אותה.,
13,3,1,3,1,99,69,64,65,The chest has a heavy lid with a strong lock.,מכסה כבד סוגר על התיבה ובו קבוע מנעול חסון.,
13,3,1,9,1,99,66,67,61,The dead Ogre's chest lies open and empty.,תיבת העוג המת מוטלת על הקרקע פתוחה וריקה.,
13,3,1,4,1,99,2,66,67,"The dead Ogre's chest lies open, its contents glittering brightly.","תיבת העוג המת מוטלת כשהיא פתוחה לרווחה, תכולתה מנצנצת מול קרני השמש.",
13,3,1,8,1,99,67,3,2,The Ogre is carrying a chest in his massive arms.,העוג נושא תיבה בזרועותיו האימתניות.,
13,3,1,8,2,99,68,3,4,This Ogre is in a bad mood.,העוג במצב רוח גרוע.,
13,3,1,8,3,99,68,3,4,And big. Very BIG.,והוא פשוט ענק. ענק ועצום.,
13,3,1,5,1,99,2,1,3,"There is a big, ugly, dead Ogre here.","יש כאן עוג ענק, מכוער, ומת.",
13,3,1,5,2,99,3,3,1,The chest has a heavy lid with a strong lock.,מכסה כבד סוגר על התיבה ובו קבוע מנעול חסון.,
13,3,11,5,1,99,3,3,2,This Ogre will never eat again.,העוג לא יאכל עוד לעולם.,
13,3,11,10,1,99,4,3,3,This Ogre looks like it would rather eat you.,העוג נראה כמו אחד שמעדיף לאכול אותך.,
13,3,20,0,1,99,2,4,3,It's already closed.,זה כבר פתוח.,
13,3,12,1,1,99,3,2,1,It's already closed.,זה כבר פתוח.,
13,3,18,1,1,99,2,4,3,The chest is already open.,התיבה כבר פתוחה,
13,3,18,2,1,99,134,127,138,It's locked -- you'll have to use another skill to open this.,היא נעולה -- תצטרך להיעזר במיומנות אחרת על מנת לפתוח אותה.,
13,4,0,0,1,99,121,130,147,Hostile intent is evident.  You prepare for battle.,כוונות עוינות ניכרות בבירור. אתה נערך לקרב.,
13,4,0,0,2,99,137,131,123,You need to get closer to the chair.,עליך לגשת קרוב יותר לעוג המת.,
13,4,0,11,1,99,133,136,129,There is nothing here to open.,אין כאן מה לפתוח.,
13,4,0,9,1,99,5,2,0,The dead Ogre's chest is empty.,תיבת העוג המת ריקה.,
13,4,0,4,1,99,126,132,131,"The dead Ogre's chest contains 1 gold and 43 silver, which you take and put away.","תיבת העוג המת מכילה 1 זהב ו-43 כסף, שאותם אתה מחרים ושם בצד.",
13,4,0,12,1,99,0,184,3,The Ogre is dazzled by your spell.,העוג מסונוור מהלחש שהטלת עליו.,
13,4,0,13,1,99,0,255,0,A search of the dead Ogre's body produces no treasure.,חיפוש על גופת העוג המת לא מניבה שום אוצרות.,
13,4,0,13,2,99,0,0,0,"However, the treasure chest he was carrying lies beside his body.","עם זאת, תיבת האוצר שנשא על שכמו נחה לצד גופתו.",
13,4,0,13,3,99,255,255,255,The dead Ogre's huge club is much too heavy for you to lift.,האלה האדירה של העוג המת כבדה מדי בשבילך.,
13,4,0,14,1,99,1,0,0,You force the Ogre's chest open.,אתה פותח את תיבת העוג בכוח הזרוע.,
13,4,0,14,2,99,3,0,0,"The dead Ogre's chest contains 1 gold and 43 silver, which you take and put away.","תיבת העוג המת מכילה 1 זהב ו-43 כסף, שאותם אתה מחרים ושם בצד.",
13,4,0,15,1,99,0,6,255,The chest is locked.,התיבה נעולה.,
13,4,0,16,1,99,0,218,2,Your spell is too weak to open the Ogre's chest.,הלחש שלך חלש מדי מכדי לפתוח תיבות עוג נעולות.,
13,4,0,6,1,99,0,0,0,You're wasting a spell.,אתה מבזבז לחש.,
13,4,0,6,2,99,0,241,0,There's nothing here to open.,אין כאן מה לפתוח.,
13,4,0,10,1,99,7,0,0,The chest is held shut by the Ogre's massive arms.,זרועותיו הכבירות של העוג מגוננות בחירוף נפש על התיבה.,
13,4,0,10,2,99,0,26,0,standing,עומד,
13,4,0,17,1,99,10,0,0,Your spell unlocks the Ogre's chest.,הקסם פותח את תיבת העוג.,
13,4,0,18,1,99,0,0,0,The Ogre appears to have recovered from your spell.,עושה רושם שהעוג התאושש מלחש הקסם שלך.,
13,4,0,19,1,99,36,0,0,You retrieve your daggers.,אתה מחזיר את הפגיונות שלך.,
13,4,0,20,2,99,0,2,0,The Ogre's chest is already unlocked.,תיבת העוג כבר פתוחה.,
13,4,0,21,1,99,3,0,0,"The lock on the Ogre's chest clicks open.  The dead Ogre's chest contains 1 gold and 43 silver, which you take and put away.  ","מנעול תיבת העוג נפתח לקול נקישה קלה. תיבת העוג המת מכילה 1 זהב ח-43 כסף, שאותם אתה נוטל ושם בצד.",
13,4,0,21,2,99,0,205,9,"The dead Ogre's chest contains 1 gold and 43 silver, which you take and put away.","תיבת העוג המת מכילה 1 זהב ו-43 כסף, שאותם אתה מחרים ושם בצד.",
13,4,80,5,1,99,0,0,0,How much more calm can he get?,כמה עוד רגוע הוא יכול להיות?,
13,4,80,6,1,99,0,17,10,You've wasted a spell.,בזבזת קסם.,
13,4,78,5,1,99,0,0,0,"Ok, he'll be a dazzled cadaver.","בסדר, הוא יהיה גוויה מסונוורת.",
13,4,78,6,1,99,0,0,42,You've wasted a spell.,בזבזת קסם.,
13,4,50,0,1,99,0,53,0,A magical aura emanates from the cave's entrance.,הילה קסומה בוקעת מפתח המערה.,
13,4,82,6,1,99,0,89,3,You want to fetch THAT?,אתה מנסה לתפוס את... זה???,שיניתי את כל מה שלא היה נקודה או שלוש נקודות
13,4,82,22,1,99,0,0,0,I don't know what you want to fetch.,אני לא מבין מה אתה מנסה לתפוס.,
13,4,1,0,1,99,0,0,0,The ground shows the beginning of new spring grass.,ניצנים אביביים של עשב טרי נובטים מתוך האדמה.,
13,4,51,9,1,99,0,0,0,The dead Ogre's chest lies open and empty.,תיבת העוג המת מוטלת על הקרקע פתוחה וריקה.,
13,4,51,4,1,99,0,254,0,"The dead Ogre's chest lies open, its contents glittering brightly.","תיבת העוג המת מוטלת כשהיא פתוחה לרווחה, תכולתה מנצנצת מול קרני השמש.",
13,4,51,5,1,99,12,0,0,Don't open the Ogre -- it's all gucky and squishy inside.,שלא תעז לפתוח את העוג -- הכול בפנים צמיגי וחלקלק.,
13,4,52,0,1,99,0,27,0,"You're kidding, right?","אתה צוחק, כן?",
13,4,79,23,1,99,10,0,0,You don't seem to have a weapon to charge.,לא נראה שיש לך נשק שאפשר לטעון.,
13,4,79,24,1,99,0,0,0,Your weapon is now magically charged.,הנשק שלך נטען בקסם.,
