"words","class","group","rooms","comments"
"dunno | maybe | possibly | probably | אולי | ייתכן | כנראה","ADVERB","333","",""
"do | עשה | עשי | עישי | פעל | פעלי | פיעלי | בצע | בצעי | ביצעי","INDICATIVE_VERB","400","",""
"did | עשו | עשית","INDICATIVE_VERB","401","",""
"does | עושה | תעשה","NOUN | INDICATIVE_VERB","402","",""
"be | להיות | תהיה","INDICATIVE_VERB","403","",""
"are | is | wheres | youre","INDICATIVE_VERB","404","",""
"am | im | הנני","INDICATIVE_VERB","405","",""
"was | היה | הייתה | הייתי","INDICATIVE_VERB","407","",""
"can | פח | מיכל | שימורים","NOUN | INDICATIVE_VERB","408","",""
"will | ירצה | עתיד | רצון","NOUN | INDICATIVE_VERB","409","",""
"would","INDICATIVE_VERB","410","",""
"go | היכנס | היכנסי | לך | לכי | צעד | צעדי | הכנסי","INDICATIVE_VERB","411","",""
"cease | stop | לחדול | להפסיק","INDICATIVE_VERB","412","",""
"begin | start | התחל | התחילי | היתחילי | החל | החלי | היחלי","INDICATIVE_VERB","413","",""
"say | אמור | אמרי | הגד | הגידי","INDICATIVE_VERB","414","",""
"says | אומר | אומרת","INDICATIVE_VERB","415","",""
"said | אמר | אמרה | נאמר","INDICATIVE_VERB","416","",""
"have | יש | לקיים","INDICATIVE_VERB","417","",""
"has","INDICATIVE_VERB","418","",""
"had","INDICATIVE_VERB","419","",""
"tell | צווה | צוי | הורה | הורי","INDICATIVE_VERB","420","",""
"use | השתמש | השתמשי | הישתמשי | נצל | נצלי | ניצלי | הפעל | הפעילי | היפעילי","INDICATIVE_VERB","421","",""
"holler | scream | shout | yell | צעק | צעקי | ציעקי | זעק | זעקי | זיעקי | צווח | צווחי","INDICATIVE_VERB","422","",""
"look | הבט | בחן | להסתכל | להסתכל | ראה | חפש | חקור | הביטי | לבדוק | בדוק | חקרי | חיקרי | חפשי | חיפשי | בחני | הסתכלי | ראי | בדקי | בידקי | הבטי","IMPERATIVE_VERB","450","",""
"open | פתח | פתחי | פיתחי | גולל | גוללי","IMPERATIVE_VERB","451","",""
"close | סגור | סגרי | סיגרי | אטום | אטמי","IMPERATIVE_VERB","452","",""
"smell | הרח | הריחי | רח | רחי | שאף | שאפי","IMPERATIVE_VERB","453","",""
"move | זוז | זוזי | משוך | משכי | מישכי| לדחוף | דחוף | דחפי | דיחפי | הזז | הזזי | היזזי | סובבי | סיבבי | סובב","IMPERATIVE_VERB","454","",""
"eat | טעם | לעוס | לעסי | ליעסי | אכול | אכלי | איכלי | טעום | טעמי | טיעמי","IMPERATIVE_VERB","455","",""
"get | קח | קחי | טול | טולי | לקח | לקחת | לקטוף | קטוף | קטפי | לקחת","IMPERATIVE_VERB","456","",""
"climb | טפס | טפסי | גלוש | גלשי","IMPERATIVE_VERB","457","",""
"talk | שוחח | שוחחי | שלום | פטפט | פטפטי | דבר | דברי","IMPERATIVE_VERB","458","",""
"white | לבן | צח","ADJECTIVE | NOUN","500","",""
"black | שחור","ADJECTIVE | NOUN","501","",""
"green | ירוק | ירקרק | זית","ADJECTIVE | NOUN","502","",""
"silver | כסף | כסוף","ADJECTIVE | NOUN","503","",""
"orange | כתום | תפוז","ADJECTIVE | NOUN","504","",""
"blue | כחול | תכלת","ADJECTIVE","505","",""
"pink | ורוד | ורדרד | סגלגל","ADJECTIVE","506","",""
"purple | סגול | ארגמן | ארגוון","ADJECTIVE","507","",""
"brown | חום | שחום | אדמדם","ADJECTIVE","508","",""
"yellow | צהוב | צהבהב | זהוב","ADJECTIVE","509","",""
"golden | זהב","ADJECTIVE","510","",""
"red | אדום | דם","ADJECTIVE","511","",""
"gray | grey | אפור | אפרורי","ADJECTIVE","512","",""
"overhead","ADJECTIVE","513","",""
"own","ADJECTIVE","514","",""
"my | שלי | שלך | שלה","ADJECTIVE","515","",""
"his | שלו","ADJECTIVE","516","",""
"its","ADJECTIVE","517","",""
"your | שלכם | שלכן","ADJECTIVE","518","",""
"our | שלנו","ADJECTIVE","519","",""
"their | שלהם | שלהן","ADJECTIVE","520","",""
"another | נוסף","ADJECTIVE","521","",""
"other | שונה","ADJECTIVE","522","",""
"some | עוד | יותר | כמה","ADJECTIVE","523","",""
"young | צעיר | צעירה","ADJECTIVE","524","",""
"wet | רטוב | לח | לחלוחית","ADJECTIVE","525","",""
"bad | רע | רשע | אכזר","ADJECTIVE","526","",""
"next | הבא | צמוד","ADJECTIVE","527","",""
"new | חדש | חדשה","ADJECTIVE","528","",""
"nasty | מגעיל | דוחה","ADJECTIVE","529","",""
"marked | מסומן | בולט | מצוין","ADJECTIVE","530","",""
"low | מדוכא","ADJECTIVE","531","",""
"long | ארוך | ממושך","ADJECTIVE","532","",""
"real | אמיתי | ממשי | מציאותי","ADJECTIVE","533","",""
"first | ראשון | התחלתי | בראשית","ADJECTIVE","534","",""
"little | small | tiny | קטן | קטנה | זעיר | זעירה | פצפון","ADJECTIVE","535","",""
"big | large | massive | גדול | ענקי | רחב","ADJECTIVE","536","",""
"faster","ADJECTIVE","537","",""
"slower","ADJECTIVE","538","",""
"second","ADJECTIVE","539","",""
"both | שניהם | שתיהן","ADJECTIVE","540","",""
"single | יחיד | רווק | בודד","ADJECTIVE","541","",""
"proper","ADJECTIVE","542","",""
"round | עגול | עיגול | סיבובי","ADJECTIVE","543","",""
"flying | צף | מרחף | טס | מעופף","ADJECTIVE","544","",""
"sharp","ADJECTIVE","545","",""
"guess","ADJECTIVE","546","",""
"old | זקן | זקנה | קשיש | ישיש","ADJECTIVE","547","",""
"third","ADJECTIVE","548","",""
"sir | גביר","ADJECTIVE","549","",""
"antique","ADJECTIVE","550","",""
"hollow | חלול | חלולה","ADJECTIVE","551","",""
"swiss","ADJECTIVE","552","",""
"magic | קסם | קסמים | מאגי","ADJECTIVE | NOUN","553","",""
"ceramic","ADJECTIVE","554","",""
"fourleaf","ADJECTIVE","555","",""
"threeleaf","ADJECTIVE","556","",""
"leather","ADJECTIVE","557","",""
"empty | ריק | לרוקן | ריקנות","ADJECTIVE","558","",""
"dark | חשוך | אפל | עמום | קודר","ADJECTIVE","559","",""
"left | שמאל | שמאלה | שמאלי","ADJECTIVE","560","",""
"right | ימין | ימינה | ימני","ADJECTIVE","561","",""
"spinning","ADJECTIVE","562","",""
"shallow","ADJECTIVE","563","",""
"unusual","ADJECTIVE","564","",""
"get | take | לרכוש | לקבל | להשיג | להסיר | להרים | לקטוף | ללקט","IMPERATIVE_VERB","1000","",""
"check | examine | look | search | להביט | לבחון | לבהות | להסתכל | להתבונן","IMPERATIVE_VERB","1001","",""
"swim | שחה | שחי | רחץ | רחצי | צוף | צופי | התיז | התיזי","IMPERATIVE_VERB","1002","",""
"climb | scale | לטפס | לרדת | רד | רדי","IMPERATIVE_VERB","1003","",""
"play | שחק | שחקי | נגן | נגני | השתעשע | השתעשעי","IMPERATIVE_VERB","1004","",""
"speak | talk | לשוחח | להפריע | לדבר","IMPERATIVE_VERB","1005","",""
"find | locate | מצא | מצאי | מיצאי | איתר | איתרי | גלה | גלי | גילי","IMPERATIVE_VERB","1006","",""
"smell | sniff | ריח | להריח","IMPERATIVE_VERB","1007","",""
"douse","IMPERATIVE_VERB","1008","",""
"stand | עמדי | עימדי | התייצב | התייצבי | היתייצבי | קום | קומי","IMPERATIVE_VERB","1009","",""
"open | פתוח | לפתוח | פתיחה","IMPERATIVE_VERB","1010","",""
"bend | break | smash | שבור | שברי | ניפץ | רסק | רסקי | נפצי | ניפצי","IMPERATIVE_VERB","1011","",""
"show | הראה | הראי | הצג | הציגי","IMPERATIVE_VERB","1012","",""
"tp","IMPERATIVE_VERB","1013","",""
"close | shut | לסגור | סגירה","IMPERATIVE_VERB","1014","",""
"capture | catch | תפוס | תפסי | לכוד | לכדי | צוד | צודי | תיפסי | דוגי | ליכדי | דוג","IMPERATIVE_VERB","1015","",""
"chase | לרדוף | מרדף","IMPERATIVE_VERB","1016","",""
"kneel","IMPERATIVE_VERB","1017","",""
"drink | שתה | שתי | לגום | לגמי | משקה","NOUN | IMPERATIVE_VERB","1018","",""
"dive | צלול | צללי","IMPERATIVE_VERB","1019","",""
"give | offer | present | תן | תני | הגש | הגישי | הענק | הענקי","IMPERATIVE_VERB","1020","",""
"kiss | נשק | נשקי","IMPERATIVE_VERB","1021","",""
"hug | חבק | חבקי | אמוץ | אמצי | גופף | גופפי","IMPERATIVE_VERB","1022","",""
"quit | הפסק | הפסיקי","IMPERATIVE_VERB","1023","",""
"pause | השהה | השהי | עצור | עצרי | הקפא | הקפיאי","IMPERATIVE_VERB","1024","",""
"pos | position","IMPERATIVE_VERB","1025","",""
"pet | ליטף | ליטפי | לטפי | לחוש | לחשי | ליחשי","IMPERATIVE_VERB","1026","",""
"kill | murder | slay | הרוג | הרגי | הירגי | רצח | רצחי | סלק | סלקי | סילקי","IMPERATIVE_VERB","1027","",""
"call | שיחה | להתקשר","IMPERATIVE_VERB","1028","",""
"turn | פנה | פני | פיני","IMPERATIVE_VERB","1029","",""
"unlock | שחרר | שחררי","IMPERATIVE_VERB","1030","",""
"read | קרא | קראי | למד | למדי | עיין | עייני","IMPERATIVE_VERB","1031","",""
"programmed | wrote | לכתוב | כתבתי","IMPERATIVE_VERB","1032","",""
"reach | הרגש | הרגישי | הושט | הושיטי | גע | געי","IMPERATIVE_VERB","1033","",""
"consume | eat | לאכול | לבלוע | אכילה","IMPERATIVE_VERB","1034","",""
"wake | העיר | העירי | היעירי | התעורר | התעוררי | היתעוררי","IMPERATIVE_VERB","1035","",""
"pound | פאונד","IMPERATIVE_VERB","1036","",""
"rub | מרוק | מרקי | לטש | לטשי","IMPERATIVE_VERB","1037","",""
"hush | quiet | silence | הרגע | הרגיעי | הירגיעי | שקט | שקטי | שיקטי | פייס | פייסי | פיסי | אלף | אלפי | אילפי","IMPERATIVE_VERB","1038","",""
"beg | להתחנן | תחנונים","IMPERATIVE_VERB","1039","",""
"aid | assist | care | help | עזור | עזרי | הושע | הושיעי | סייע | סייעי | עזרה","IMPERATIVE_VERB","1040","",""
"wear | חבוש | חבשי | לבש | לבשי | הרכב | הרכיבי | ענוד | ענדי | חיבשי | עינדי","IMPERATIVE_VERB","1041","",""
"feed | האכל | האכילי | היאכילי | הזן | הזיני | היזיני | פרנס | פרנסי | פירנסי","IMPERATIVE_VERB","1042","",""
"slide | מגלשה","IMPERATIVE_VERB","1043","",""
"lower | הורד | הורידי | הורדי | שפל | שפלי | שיפלי | נמוך | נמכי | נימכי","IMPERATIVE_VERB","1044","",""
"raise | הרם | הרימי | הירימי | הגבה | הגביהי | היגביהי","IMPERATIVE_VERB","1045","",""
"untie | התיר | התירי | היתירי","IMPERATIVE_VERB","1046","",""
"cast | throw | toss | העף | העיפי | זרוק | זירקי | השלך | השליכי | זרקי | השלכי | העפי","IMPERATIVE_VERB","1047","",""
"drop | put | הפל | הפילי","IMPERATIVE_VERB","1048","",""
"save | הצל | הצילי | גאל | גאלי","IMPERATIVE_VERB","1049","",""
"message | הודעה | מסר","IMPERATIVE_VERB","1050","",""
"exit | leave | צא | צאי | עזוב | עזבי | מוצא","IMPERATIVE_VERB","1051","",""
"restore | שחזר | שחזרי | החזר | החזירי | שקם | שקמי","IMPERATIVE_VERB","1052","",""
"restart | אתחל | אתחלי","IMPERATIVE_VERB","1053","",""
"inventory | מלאי | רשימה","IMPERATIVE_VERB","1054","",""
"hello | hi | הי","IMPERATIVE_VERB","1055","",""
"knock | דפוק | דפקי | הקש | הקישי | טרוק | טרקי | נקוש | נקשי","IMPERATIVE_VERB","1056","",""
"follow | עקוב | עקבי | עיקבי | הלך | הלכי | הילכי | התבע | התבעי | היתבעי","IMPERATIVE_VERB","1057","",""
"sit | שב | שבי | התיישב | התיישבי | היתיישבי","IMPERATIVE_VERB","1058","",""
"cut | קצוץ | קצצי | קיצצי | חתוך | חתכי | חיתכי | גזוז | גזזי | גיזזי | פרוס | פרסי | פירסי","IMPERATIVE_VERB","1059","",""
"feel | להרגיש | הרגשה | יחוש","IMPERATIVE_VERB","1060","",""
"fly | לטוס | זבוב | לעוף","IMPERATIVE_VERB","1061","",""
"nap | sleep | שינה | ישן | ישני | יישני | נמנם | נמנמי | נימנמי | דמם | דממי | דיממי | לישון","NOUN | IMPERATIVE_VERB","1062","",""
"move | pull | push | roll | shove | לזוז | להזיז | תנועה","IMPERATIVE_VERB","1063","",""
"pry | כפה | כפי | כיפי | לחץ | לחצי | ליחצי | פרוץ | פרצי | פירצי","IMPERATIVE_VERB","1064","",""
"abracadabra","IMPERATIVE_VERB","1065","",""
"sesame","IMPERATIVE_VERB","1066","",""
"buy | purchase | לקנות | רכישה | קנייה | קנה","IMPERATIVE_VERB","1067","",""
"steal | גנוב | גנבי | גינבי | חטוף | חטפי | שדוד | שדדי","IMPERATIVE_VERB","1068","",""
"remove | הסר | הסירי | היסירי | נתק | נתקי | ניתקי | פרוק | פרקי | פירקי","IMPERATIVE_VERB","1069","",""
"blow | נשוף | נשפי | נישפי | נפח | נפחי | ניפחי","IMPERATIVE_VERB","1070","",""
"fill | למלא | להכניס | הכנסה","IMPERATIVE_VERB","1071","",""
"lift | להגביה | הרמה","IMPERATIVE_VERB","1072","",""
"fishing","IMPERATIVE_VERB","1073","",""
"point","IMPERATIVE_VERB","1074","",""
"let | לאפשר","IMPERATIVE_VERB","1075","",""
"thank | להודות | תודה | תודות","IMPERATIVE_VERB","1076","",""
"ride | רכב | רכבי | ריכבי | נסע | נסעי | ניסעי | עלי | עלה","IMPERATIVE_VERB","1077","",""
"format | init | initialize","IMPERATIVE_VERB","1078","",""
"taste | לטעום | טעימה","IMPERATIVE_VERB","1079","",""
"jump | קפוץ | קפצי | זנק | זנקי","IMPERATIVE_VERB","1080","",""
"sp","IMPERATIVE_VERB","1081","",""
"reset | לאפס | איפוס | לאתחל","IMPERATIVE_VERB","1082","",""
"love | אהבה | לאהוב | חיבה","IMPERATIVE_VERB","1083","",""
"set | שים | שימי | הנח | הניחי | מקם | מקמי | מקום | השחל | השחילי","IMPERATIVE_VERB","1084","",""
"bow","IMPERATIVE_VERB","1085","",""
"count | לספור | ספירה | מספר","IMPERATIVE_VERB","1086","",""
"attack | fight | hit | הכה | הכי | היכי | בעט | בעטי | ביעטי | היכה | סטור | סטרי | סיטרי","IMPERATIVE_VERB","1087","",""
"duck | squat | להתכופף | ברווז | להתחמק","IMPERATIVE_VERB","1088","",""
"bury | plant | צמח | צמחים | גפן | גפנים | עלווה","IMPERATIVE_VERB | NOUN","1089","",""
"pick | pluck | פריצה | לפרוץ","IMPERATIVE_VERB","1090","",""
"enter | להיכנס | יכנס","IMPERATIVE_VERB","1091","",""
"wait | להישאר | לחכות | המתנה","IMPERATIVE_VERB","1092","",""
"ascend","IMPERATIVE_VERB","1093","",""
"listen | הקשב | הקשיבי | שמע | שמעי | האזן | האזיני","IMPERATIVE_VERB","1094","",""
"light | אור | הדלק | הדליקי | האר | האירי","NOUN | IMPERATIVE_VERB","1095","",""
"switch","NOUN | IMPERATIVE_VERB","1096","",""
"bite | לנשוך | נשיכה | נשך","IMPERATIVE_VERB","1097","",""
"touch","IMPERATIVE_VERB","1098","",""
"kick | להכות | לרסק | להלום | לבעוט | לסטור | למעוך | לרמוס | לשבות | להביס","IMPERATIVE_VERB","1099","",""
"pump | משאבה | שאב | שאבי | שיאבי | מזרקת","NOUN | IMPERATIVE_VERB","1100","",""
"free | release | פדה | פדי | פידי | חלץ | חלצי | חילצי","IMPERATIVE_VERB","1101","",""
"pay | לשלם | תשלום | שכר","IMPERATIVE_VERB","1102","",""
"crawl | זחול | זחלי | זיחלי | התגנב | התגנבי | היתגנבי | סרוח | סרחי | סירחי","IMPERATIVE_VERB","1103","",""
"walk | שביל | מסלול | נתיב","IMPERATIVE_VERB","1104","",""
"ask | לשאול | לברר | לבקש | שאל","IMPERATIVE_VERB","1105","",""
"uncoil","IMPERATIVE_VERB","1106","",""
"bargain | להתמקח | לסחור | סחר","IMPERATIVE_VERB","1107","",""
"trade","IMPERATIVE_VERB","1108","",""
"hide | הסתר | הסתירי | היסתירי | החבא | החביאי | היחביאי | טמון | טמני | טימני","IMPERATIVE_VERB","1109","",""
"bitch | crap | fuck | screw | shit | חמור | ממזר | כלבה | שטויות | חרא | לעזאזל","IMPERATIVE_VERB","1110","",""
"because","IMPERATIVE_VERB","1111","",""
"excuse","IMPERATIVE_VERB","1112","",""
"write","IMPERATIVE_VERB","1113","",""
"tie","IMPERATIVE_VERB","1114","",""
"stab | לקצוץ | לחתוך | לנקב | לקרוע | לשפד | לשסע | לפרוס | לדקור","IMPERATIVE_VERB","1115","",""
"punch","IMPERATIVE_VERB","1116","",""
"shoot | ירה | ירי | יירי | שגר | שגרי | שיגרי | לירות","IMPERATIVE_VERB","1117","",""
"coax | entice | lure | tempt | פתה | פתי | פיתי | הסית | הסיתי | היסיתי","IMPERATIVE_VERB","1118","",""
"spin | לסובב","IMPERATIVE_VERB","1119","",""
"wade | שכשך | שכשכי | דרוך | דרכי | דירכי","IMPERATIVE_VERB","1120","",""
"tickle | דגדג | דגדגי | דיגדגי | גרה | גרי | צחקק | צחקקי | ציחקקי","IMPERATIVE_VERB","1121","",""
"make | צור | צרי | צירי | הכן | הכיני | היכיני","IMPERATIVE_VERB","1122","",""
"work | לעבוד | יגיעה","IMPERATIVE_VERB","1123","",""
"stair | stairway | step | מדרגה | מדרגות | שלבים","NOUN","2000","",""
"rumpelstilskin | rumpelstiltskin | rumplestilskin | rumplestiltskin","NOUN","2001","",""
"nikslitselpmur | nikslitslepmur | nikstlitselpmur | nikstlitslepmur","NOUN","2002","",""
"ifnkovhgroghprm | ifnkvohgroghprm","NOUN","2003","",""
"grass | ground | weed | דשא | עשב | ירק | אחו","NOUN","2004","",""
"ceder | forest | tree | willow | יער | עצים | חורשה | עצים","NOUN","2005","",""
"moat","NOUN","2006","",""
"bush | shrub | שיח | שיחים | סבך","NOUN","2007","",""
"alligator","NOUN","2008","",""
"blossom | flower | wildflowers | פרח | פרחים | ציצה | לבלב | שושן","NOUN","2009","",""
"building | cabin | cottage | fort | house | hut | leanto | shack | בית | בקתה | מעון | ארמון | צריף","NOUN","2010","",""
"castle | palace | tower | טירה | מבצר | היכל | משכן","NOUN","2011","",""
"door | דלת | דלתות | נעילה","NOUN","2012","",""
"dragon | דרקון | תנין | הדרקון","NOUN","2013","",""
"dagger | knife | סכין | פגיון","NOUN","2014","",""
"broth | soup | שיקוי | מבושל","NOUN","2015","",""
"torch | לפיד | לפידים | אבוקה","NOUN","2016","",""
"chasm | תהום | בקע | סדק | פער","NOUN","2017","",""
"bucket | pail | דלי | כד | גיגית","NOUN","2018","",""
"mirror | מראה | משקף","NOUN","2019","",""
"boulder | rock | סלע | סלעים | אבן | אבנים | גלעד | נענע","NOUN","2020","",""
"doorway | entrance | entryway | opening | בדלת | הדלת","NOUN","2021","",""
"jewelry | מרגלית","NOUN","2022","",""
"treasure | שלל | רווח | עושר | אוצר | הון","NOUN","2023","",""
"cattail","NOUN","2024","",""
"lion | אריה | לביא | לבואה","NOUN","2025","",""
"object | פריט | אובייקט","NOUN","2026","",""
"thorn | קוץ | דרדר | עוקץ","NOUN","2027","",""
"bag | pouch | תיק | מטבעות","NOUN","2028","",""
"island | אי | איים | טבור","NOUN","2029","",""
"banner | flag","NOUN","2030","",""
"waterfall | מפל | מפלי | שטף","NOUN","2031","",""
"sign | סימן | לחתום","NOUN","2032","",""
"ogre | ענק | אורק | אורג","NOUN","2033","",""
"sorcerer | אשף","NOUN","2034","",""
"dwarf | גמד | גמדים","NOUN","2035","",""
"enchanter","NOUN","2036","",""
"husband | woodcutter","NOUN","2037","",""
"gnome | גנום | ננס","NOUN","2038","",""
"man | person | איש | גבר | בעל | טרובדור","NOUN","2039","",""
"goat","NOUN","2040","",""
"carrot | גזר | פטרוזיליה | לפת | ירקות","NOUN","2041","",""
"gate | grate | portcullis | שער","NOUN","2042","",""
"garden | patch | גן | פארק | בוסתן","NOUN","2043","",""
"elf","NOUN","2044","",""
"hill | mountain | גבעה | תל | רמה","NOUN","2045","",""
"lock | בריח | מנעול | המנעול | נעל | נעלי","NOUN","2046","",""
"branch | log | ענף | ענפים | גפה","NOUN","2047","",""
"knob | ידית | ידיות | כפתור","NOUN","2048","",""
"clover","NOUN","2049","",""
"key | מפתח | ברזל","NOUN","2050","",""
"cave | cavern | chamber | מערה | מחילה","NOUN","2051","",""
"hall | אולם","NOUN","2052","",""
"bridge | גשר","NOUN","2053","",""
"chandelier | נברשת","NOUN","2054","",""
"armor | שריון","NOUN","2055","",""
"bowl | dish | קערה | קערות","NOUN","2056","",""
"pebble | stone | לבנה | לבנים","NOUN","2057","",""
"ax | axe | hatchet | גרזן | כרסום | קרדום","NOUN","2058","",""
"window | חלון | חלונות | אשנב","NOUN","2059","",""
"cloud | ענן | עב | עננה","NOUN","2060","",""
"shot | sling | slingshot","NOUN","2061","",""
"nut | walnut | אגוז","NOUN","2062","",""
"floor | אדמה | רצפה | קרקע | יבשה","NOUN","2063","",""
"candle | נר | נרות","NOUN","2064","",""
"bed | מיטה | מיטות | ערש | משכב","NOUN","2065","",""
"mushroom | toadstool | פטריה | פטרייה | פטריות","NOUN","2066","",""
"stalactite | stalagmite | stalagtite | נטיף","NOUN","2067","",""
"kitchen | מטבח","NOUN","2068","",""
"cabinet | cupboard | ארונית | ארוניות | מזנון | מזנונות | מחסנית","NOUN","2069","",""
"table | שולחן | שולחנות | טבלה","NOUN","2070","",""
"well | ובכן | באר | היטב","NOUN","2071","",""
"bottle | jug | בקבוק | צנצנת","NOUN","2072","",""
"egg | ביצה | ביצים","NOUN","2073","",""
"lamp | מנורה","NOUN","2074","",""
"name | שם | כינוי | לשם","NOUN","2075","",""
"ring | טבעת | לצלצל | צלצול","NOUN","2076","",""
"nest | קן | לקנן | קינון","NOUN","2077","",""
"mouse | פנרוס | עכבר | חולדה","NOUN","2078","",""
"witch | מכשפה | מכשפות | קוסמת","NOUN","2079","",""
"bird | condor | eagle | ציפור | ציפורים | עופות","NOUN","2080","",""
"troll | טרול","NOUN","2081","",""
"bean","NOUN","2082","",""
"beanstalk | stalk","NOUN","2083","",""
"diamond | יהלום | יהלומים | חן | אודם","NOUN","2084","",""
"scepter | sceptor | sceptre","NOUN","2085","",""
"cheese | גבינה | חלב","NOUN","2086","",""
"dog | wolf | כלב | כלבלב | בולדוג","NOUN","2087","",""
"graham","NOUN","2088","",""
"rope | חבל | קנבוס | חוט","NOUN","2089","",""
"ladder | סולם","NOUN","2090","",""
"room | חדר | חללים","NOUN","2091","",""
"candy | candycane","NOUN","2092","",""
"game | משחק | ציד","NOUN","2093","",""
"giant","NOUN","2094","",""
"water | מים | מימיות | נוזל","NOUN","2095","",""
"chest | trunk | תיבה","NOUN","2096","",""
"fence | pen | גדר | משוכה | סייג","NOUN","2097","",""
"oven | stove | woodstove | תנור | כיריים","NOUN","2098","",""
"cage | jail | prison | כלוב | סורג","NOUN","2099","",""
"home | מולדת","NOUN","2100","",""
"note | paper | מכתב | פתק | פתקים | נייר","NOUN","2101","",""
"fairy | girl | godmother | lady | wife | woman | פיה | פיות","NOUN","2102","",""
