"words","class","group","rooms","comments"
"smell | להריח","IMPERATIVE_VERB","453","",""
"move | להזיז | לדחוף","IMPERATIVE_VERB","454","",""
"eat | לאכול | לצרוך | לטעום","IMPERATIVE_VERB","455","",""
"get | לקחת | להרים | להשיג | לקבל | לקטוף","IMPERATIVE_VERB","456","",""
"climb | לטפס | לעלות | לרדת","IMPERATIVE_VERB","457","",""
"talk | לדבר | לשוחח","IMPERATIVE_VERB","458","",""
"white | לבן","ADJECTIVE | NOUN","500","",""
"black | שחור","ADJECTIVE | NOUN","501","",""
"green | ירוק","ADJECTIVE | NOUN","502","",""
"silver | כסף","ADJECTIVE | NOUN","503","",""
"orange | כתום","ADJECTIVE | NOUN","504","",""
"blue | כחול","ADJECTIVE","505","",""
"pink | טוליט","ADJECTIVE","506","",""
"purple | בנפגיה","ADJECTIVE","507","",""
"brown | חום","ADJECTIVE","508","",""
"yellow | צהוב","ADJECTIVE","509","",""
"golden | זהוב","ADJECTIVE","510","",""
"red | אדום","ADJECTIVE","511","",""
"gray | grey | אפור","ADJECTIVE","512","",""
"overhead | מעלה","ADJECTIVE","513","",""
"own | חבטובה","ADJECTIVE","514","",""
"my | שלי","ADJECTIVE","515","",""
"his | שלו","ADJECTIVE","516","",""
"its | שלוכן","ADJECTIVE","517","","",""
"your | שלך","ADJECTIVE","518","",""
"our | שלנו","ADJECTIVE","519","",""
"their | שלהם","ADJECTIVE","520","",""
"another | אחרה","ADJECTIVE","521","",""
"other | אחר","ADJECTIVE","522","",""
"some | קזת","ADJECTIVE","523","",""
"young | צעיר","ADJECTIVE","524","",""
"wet | רטוב","ADJECTIVE","525","",""
"bad | רדוע","ADJECTIVE","526","",""
"next | בא","ADJECTIVE","527","",""
"new | חדש","ADJECTIVE","528","",""
"nasty | בזויה","ADJECTIVE","529","",""
"marked | כמוישם","ADJECTIVE","530","",""
"low | נמוך","ADJECTIVE","531","",""
"long | ארוך","ADJECTIVE","532","",""
"real | אמיתי","ADJECTIVE","533","",""
"first | רישון","ADJECTIVE","534","",""
"little | small | tiny | קטן","ADJECTIVE","535","",""
"big | large | massive | גדול","ADJECTIVE","536","",""
"faster","ADJECTIVE","537","",""
"slower","ADJECTIVE","538","",""
"second | שניים","ADJECTIVE","539","",""
"both | שניהם","ADJECTIVE","540","","",""
"single | יחידי","ADJECTIVE","541","",""
"proper | יחיף","ADJECTIVE","542","",""
"round | עגול","ADJECTIVE","543","",""
"flying | עופה","ADJECTIVE","544","",""
"sharp | חדה","ADJECTIVE","545","",""
"guess | תעוזה","ADJECTIVE","546","",""
"old | ישאן","ADJECTIVE","547","",""
"third | שלישי","ADJECTIVE","548","",""
"sir | אדון","ADJECTIVE","549","",""
"antique | דרטנו","ADJECTIVE","550","",""
"hollow | חלול","ADJECTIVE","551","",""
"swiss | שויצרי","ADJECTIVE","552","",""
"magic | קסמים | הקסמים","ADJECTIVE | NOUN","553","",""
"ceramic | קרמיקה","ADJECTIVE","554","",""
"fourleaf","ADJECTIVE","555","",""
"threeleaf","ADJECTIVE","556","",""
"leather | עור","ADJECTIVE","557","",""
"empty | ריק","ADJECTIVE","558","",""
"dark | טהורה","ADJECTIVE","559","",""
"left | שמאל","ADJECTIVE","560","",""
"right | ימין","ADJECTIVE","561","",""
"spinning | מטוחח","ADJECTIVE","562","",""
"shallow | שפן","ADJECTIVE","563","",""
"unusual | מוזר","ADJECTIVE","564","","",""
"get | take | לקבל | לקחת | להרים | להשיג | לקטוף","IMPERATIVE_VERB","1000","",""
"check | examine | look | search | לבדוק | לבדוק | להסתכל | לחפש | לראות","IMPERATIVE_VERB","1001","",""
"swim | לשחות","IMPERATIVE_VERB","1002","",""
"climb | scale | לטפס | לעלות | לרדת","IMPERATIVE_VERB","1003","",""
"play | לנגן","IMPERATIVE_VERB","1004","",""
"speak | talk | לדבר | לשוחח","IMPERATIVE_VERB","1005","",""
"find | locate | למצוא","IMPERATIVE_VERB","1006","",""
"smell | sniff | להריח","IMPERATIVE_VERB","1007","",""
"douse | להרטיב","IMPERATIVE_VERB","1008","",""
"stand | לעמוד","IMPERATIVE_VERB","1009","",""
"open | לפצח | לפתוח","IMPERATIVE_VERB","1010","",""
"bend | break | smash | לכופף | לשבור | להרוס","IMPERATIVE_VERB","1011","",""
"show | להציג | להראות","IMPERATIVE_VERB","1012","",""
"tp","IMPERATIVE_VERB","1013","",""
"close | shut | לסגור","IMPERATIVE_VERB","1014","",""
"capture | catch | ללכוד","IMPERATIVE_VERB","1015","",""
"chase | לרדוף","IMPERATIVE_VERB","1016","",""
"kneel | לכריע","IMPERATIVE_VERB","1017","",""
"drink | לשתות","NOUN | IMPERATIVE_VERB","1018","",""
"dive | לצלול","IMPERATIVE_VERB","1019","",""
"give | offer | present | לתת | להציע | להעניק","IMPERATIVE_VERB","1020","",""
"kiss | לנשוק","IMPERATIVE_VERB","1021","",""
"hug | לחבוק","IMPERATIVE_VERB","1022","",""
"quit | לעזוב","IMPERATIVE_VERB","1023","",""
"pause | להשהוית","IMPERATIVE_VERB","1024","",""
"pos | position | מקום","IMPERATIVE_VERB","1025","",""
"pet | ללטף","IMPERATIVE_VERB","1026","",""
"kill | murder | slay | להרוג","IMPERATIVE_VERB","1027","",""
"call","IMPERATIVE_VERB","1028","",""
"turn | לפנות","IMPERATIVE_VERB","1029","",""
"unlock | לעקול","IMPERATIVE_VERB","1030","",""
"read | לקרוא","IMPERATIVE_VERB","1031","",""
"programmed | wrote | כטב","IMPERATIVE_VERB","1032","",""
"reach | להגיע","IMPERATIVE_VERB","1033","",""
"consume | eat | לאכול | לצרוך | לטעום","IMPERATIVE_VERB","1034","",""
"wake | להקיץ","IMPERATIVE_VERB","1035","",""
"pound | לחטוף","IMPERATIVE_VERB","1036","",""
"rub | לשפשף","IMPERATIVE_VERB","1037","",""
"hush | quiet | silence | שחה","IMPERATIVE_VERB","1038","",""
"beg | בקש","IMPERATIVE_VERB","1039","",""
"aid | assist | care | help | עזור","IMPERATIVE_VERB","1040","",""
"wear | ללבוש | לחבוש | לענוד","IMPERATIVE_VERB","1041","",""
"feed | להאכיל","IMPERATIVE_VERB","1042","",""
"slide | לזזוס","IMPERATIVE_VERB","1043","",""
"lower | להנמיך | להוריד","IMPERATIVE_VERB","1044","",""
"raise | להרים","IMPERATIVE_VERB","1045","",""
"untie | לצריח","IMPERATIVE_VERB","1046","",""
"cast | throw | toss | להטיל | לזרוק | להשליך","IMPERATIVE_VERB","1047","",""
"drop | put | להניח | לשים | לקפוץ","IMPERATIVE_VERB","1048","",""
"save | להציל","IMPERATIVE_VERB","1049","",""
"message","IMPERATIVE_VERB","1050","",""
"exit | leave | לצאת","IMPERATIVE_VERB","1051","",""
"restore | לשחזר","IMPERATIVE_VERB","1052","",""
"restart | להתחיל","IMPERATIVE_VERB","1053","",""
"inventory | מחסניט","IMPERATIVE_VERB","1054","",""
"hello | hi | שלום","IMPERATIVE_VERB","1055","",""
"knock | לדפוק","IMPERATIVE_VERB","1056","",""
"follow | לרדוף","IMPERATIVE_VERB","1057","",""
"sit | לשבת","IMPERATIVE_VERB","1058","",""
"cut | לחתוך","IMPERATIVE_VERB","1059","",""
"feel | להרגיש","IMPERATIVE_VERB","1060","",""
"fly | לטוס","IMPERATIVE_VERB","1061","",""
"nap | sleep | לישון","NOUN | IMPERATIVE_VERB","1062","",""
"move | pull | push | roll | shove | להזיז | לדחוף | לגלגל | למשוך","IMPERATIVE_VERB","1063","",""
"pry | לרמוץ","IMPERATIVE_VERB","1064","",""
"abracadabra | אבראכדברה","IMPERATIVE_VERB","1065","",""
"sesame | שומשמ","IMPERATIVE_VERB","1066","",""
"buy | purchase | לקנות","IMPERATIVE_VERB","1067","",""
"steal | לגנוב","IMPERATIVE_VERB","1068","",""
"remove | להסיר","IMPERATIVE_VERB","1069","",""
"blow | לצפונף","IMPERATIVE_VERB","1070","",""
"fill | למלא | מלא","IMPERATIVE_VERB","1071","",""
"lift | להרים","IMPERATIVE_VERB","1072","",""
"fishing | דיגיה","IMPERATIVE_VERB","1073","",""
"point | לציין","IMPERATIVE_VERB","1074","",""
"let | להפת","IMPERATIVE_VERB","1075","",""
"thank | להודה","IMPERATIVE_VERB","1076","",""
"ride | לרכוב","IMPERATIVE_VERB","1077","",""
"format | init | initialize | אימון","IMPERATIVE_VERB","1078","",""
"taste | לטעם","IMPERATIVE_VERB","1079","",""
"jump | לקפוץ","IMPERATIVE_VERB","1080","",""
"sp | וציאה","IMPERATIVE_VERB","1081","",""
"reset | אפסה","IMPERATIVE_VERB","1082","",""
"love | לאהוב","IMPERATIVE_VERB","1083","",""
"set | להצב","IMPERATIVE_VERB","1084","",""
"bow | להשתחויה","IMPERATIVE_VERB","1085","",""
"count | לספור","IMPERATIVE_VERB","1086","",""
"attack | fight | hit | להטוף","IMPERATIVE_VERB","1087","",""
"duck | squat | להתכופף","IMPERATIVE_VERB","1088","",""
"bury | plant | לקבור | לשתול","IMPERATIVE_VERB | NOUN","1089","",""
"pick | pluck | לדיון","IMPERATIVE_VERB","1090","",""
"enter | להכנס","IMPERATIVE_VERB","1091","",""
"wait | להמתין","IMPERATIVE_VERB","1092","",""
"ascend | לעלות","IMPERATIVE_VERB","1093","",""
"listen | להשמיע","IMPERATIVE_VERB","1094","",""
"light | אור","NOUN | IMPERATIVE_VERB","1095","",""
"switch | מעבר","NOUN | IMPERATIVE_VERB","1096","",""
"bite | לשודד","IMPERATIVE_VERB","1097","",""
"touch | לגעט","IMPERATIVE_VERB","1098","",""
"kick | לבעוט","IMPERATIVE_VERB","1099","",""
"pump | משאבה","NOUN | IMPERATIVE_VERB","1100","",""
"free | release | להשחרר","IMPERATIVE_VERB","1101","",""
"pay | לשלם","IMPERATIVE_VERB","1102","",""
"crawl | לזוחלל","IMPERATIVE_VERB","1103","",""
"walk | להלח","IMPERATIVE_VERB","1104","",""
"ask | לשאול","IMPERATIVE_VERB","1105","",""
"uncoil | לפטור","IMPERATIVE_VERB","1106","",""
"bargain | להזכה","IMPERATIVE_VERB","1107","",""
"trade | להחליף","IMPERATIVE_VERB","1108","",""
"hide | להסתיר","IMPERATIVE_VERB","1109","",""
"bitch | crap | fuck | screw | shit | גנדה","IMPERATIVE_VERB","1110","",""
"because | כי | בגלל","IMPERATIVE_VERB","1111","",""
"excuse | מחילה","IMPERATIVE_VERB","1112","",""
"write | לכתוב","IMPERATIVE_VERB","1113","",""
"tie | לטויד","IMPERATIVE_VERB","1114","",""
"stab | לדקור","IMPERATIVE_VERB","1115","",""
"punch | לעגם","IMPERATIVE_VERB","1116","",""
"shoot | ליריה","IMPERATIVE_VERB","1117","",""
"coax | entice | lure | tempt | לגרד","IMPERATIVE_VERB","1118","",""
"spin | להיסח","IMPERATIVE_VERB","1119","",""
"wade | לטובל","IMPERATIVE_VERB","1120","",""
"tickle | לגדדל","IMPERATIVE_VERB","1121","",""
"make | לעזור","IMPERATIVE_VERB","1122","",""
"work | להשטגמ","IMPERATIVE_VERB","1123","",""
"stair | stairway | step | סדרה","NOUN","2000","",""
"rumpelstilskin | rumpelstiltskin | rumplestilskin | rumplestiltskin | רומפלשטילצקין | עוץ | גוץ","NOUN","2001","",""
"nikslitselpmur | nikslitslepmur | nikstlitselpmur | nikstlitslepmur | צוע | צוג | זפה | יל | רפה | כמ | כם | ץוג | ניקסטליטסלפמור","NOUN","2002","",""
"ifnkovhgroghprm | ifnkvohgroghprm","NOUN","2003","",""
"grass | ground | weed | האדמה | הקרקע","NOUN","2004","",""
"ceder | forest | tree | willow | עץ | עצים | יער","NOUN | ADJECTIVE","2005","",""
"moat | תעלה | חפיר","NOUN","2006","",""
"bush | shrub","NOUN","2007","",""
"alligator | תמנון","NOUN","2008","",""
"blossom | flower | wildflowers | פרח","NOUN","2009","",""
"building | cabin | cottage | fort | house | hut | leanto | shack | מבנה | בקתה | מבצר | בית | סוכה | צריף","NOUN","2010","",""
"castle | palace | tower | טירה | ארמון | מגדל","NOUN","2011","",""
"door | דלת","NOUN","2012","",""
"dragon | דרקון","NOUN","2013","",""
"dagger | knife | פגיון | פיגיון | סכין","NOUN","2014","",""
"broth | soup | מרק | תבשיל | אוכל | נזיד","NOUN","2015","",""
"torch | משעל","NOUN","2016","",""
"chasm | תהום","NOUN","2017","",""
"bucket | pail | סל | סלסלה | דלי | מיכל","NOUN","2018","",""
"mirror | מראה | מראת","NOUN","2019","",""
"boulder | rock | אבן | סלע | בולדר","NOUN","2020","",""
"doorway | entrance | entryway | opening | דיישר","NOUN","2021","",""
"jewelry | תישהמונים","NOUN","2022","",""
"treasure | אוצר","NOUN","2023","",""
"cattail | חבהבה","NOUN","2024","",""
"lion | אריה","NOUN","2025","",""
"object | חפץ","NOUN","2026","",""
"thorn | קוץ","NOUN","2027","",""
"bag | pouch | שק | שקית | ארנק | שקיק | כיס | נרתיק","NOUN","2028","",""
"island | אייה","NOUN","2029","",""
"banner | flag | דגל","NOUN","2030","",""
"waterfall | פטיטה","NOUN","2031","",""
"sign | דשה","NOUN","2032","",""
"ogre | גידול","NOUN","2033","",""
"sorcerer | כשף","NOUN","2034","",""
"dwarf | קטני","NOUN","2035","",""
"enchanter | גמדטר","NOUN","2036","",""
"husband | woodcutter | בעל | חוטב | איכר | לחוטב","NOUN","2037","",""
"gnome | גמד | גנום","NOUN","2038","",""
"man | person | אדם | איש | לאיש","NOUN","2039","",""
"goat | עז | תייש | תיש","NOUN","2040","",""
"carrot | גזר","NOUN","2041","",""
"gate | grate | portcullis | שער","NOUN","2042","",""
"garden | patch | גינה | ערוגה | ערוגות","NOUN","2043","",""
"elf | אלף","NOUN","2044","",""
"hill | mountain | גבעה","NOUN","2045","",""
"lock | ייטנט","NOUN","2046","",""
"branch | log | ערף","NOUN","2047","",""
"knob | כדור","NOUN","2048","",""
"clover | תלתן | תילתן","NOUN","2049","",""
"key | מפתח","NOUN","2050","",""
"cave | cavern | chamber | מערה","NOUN","2051","",""
"hall | אולם","NOUN","2052","",""
"bridge | גשר","NOUN","2053","",""
"chandelier | שמרזן","NOUN","2054","",""
"armor | דיקנט","NOUN","2055","",""
"bowl | dish | קערה | צלחת | בקערה | בצלחת | הקערה","NOUN","2056","",""
"pebble | stone | חלוק | חלוקים | חלוקי","NOUN","2057","",""
"ax | axe | hatchet | קסע","NOUN","2058","",""
"window | חלון","NOUN","2059","",""
"cloud | ענן","NOUN","2060","",""
"shot | sling | slingshot | קלע | רוגטקה | בקלע","NOUN","2061","",""
"nut | walnut | אגוז | אגוזים | אגוזי","NOUN","2062","",""
"floor | ריצפה","NOUN","2063","",""
"candle | נרה","NOUN","2064","",""
"bed | מיטה","NOUN","2065","",""
"mushroom | toadstool | פטריה | פטריות | פטרייה","NOUN","2066","",""
"stalactite | stalagmite | stalagtite | שנדרה","NOUN","2067","",""
"kitchen | מטבח","NOUN","2068","",""
"cabinet | cupboard | ארון | מזווה","NOUN","2069","",""
"table | שולחן","NOUN","2070","",""
"well | באר","NOUN","2071","",""
"bottle | jug | שקטטה","NOUN","2072","",""
"egg | ביצה | ביצת","NOUN","2073","",""
"lamp | כאץ","NOUN","2074","",""
"name | שם","NOUN","2075","",""
"ring | טבעת","NOUN","2076","",""
"nest | קן","NOUN","2077","",""
"mouse | עכברה","NOUN","2078","",""
"witch | מכשפה","NOUN","2079","",""
"bird | condor | eagle | ציפור","NOUN","2080","",""
"troll | גטרול","NOUN","2081","",""
"bean | שעועית | אפונה | אפונים","NOUN","2082","",""
"beanstalk | stalk | גבעול","NOUN","2083","",""
"diamond | יהלום | יהלומים","NOUN","2084","",""
"scepter | sceptor | sceptre | מטה | שרביט | השרביט","NOUN","2085","",""
"cheese | גבינה","NOUN","2086","",""
"dog | wolf | כלב | זאב","NOUN","2087","",""
"graham | בישקויט","NOUN","2088","",""
"rope | חבל | בחבל","NOUN","2089","",""
"ladder | סולם","NOUN","2090","",""
"room | חדר","NOUN","2091","",""
"candy | candycane | ממתק | ממתקים","NOUN","2092","",""
"game | משחק","NOUN","2093","","",""
"giant | ענק | הענק","NOUN","2094","",""
"water | מים | במים | למים | מהמים","NOUN","2095","",""
"chest | trunk | תיבה | ארגז | תיבת","NOUN","2096","",""
"fence | pen | גדר","NOUN","2097","",""
"oven | stove | woodstove | תנור","NOUN","2098","",""
"cage | jail | prison | כלוב | כלא","NOUN","2099","",""
"home | בית | הביתה","NOUN","2100","",""
"note | paper | פתק | נייר | מכתב | הודעה | דף","NOUN","2101","",""
"fairy | girl | godmother | lady | wife | woman | פייה | אישה | פיה","NOUN","2102","",""
"people | אנשים","NOUN","2103","",""
"brook | river | stream | נחל | הנחל","NOUN | ADJECTIVE","2104","",""
"soup | stew | מרק | תבשיל | נזיד","NOUN","2105","",""
"lid | כלא","NOUN","2106","",""
"fire | אוש","NOUN","2107","",""
"fiddle | guitar | violin | גיטרה | כינור | בכינור | בגיטרה","IMPERATIVE_VERB | NOUN","2108","",""
"lep | leprechaun | לפרקון | לפרקונים | שדון | שדונים","NOUN","2109","",""
"throne | כסא","NOUN","2110","",""
"shield | מגן","NOUN","2111","",""
"king | מלך","NOUN | ADJECTIVE","2112","",""
"disk | דיסקיט","NOUN","2113","",""
"cap | hat | כובע","NOUN","2114","",""
"coin | מטבע","NOUN","2115","",""
"crack | דריסה","NOUN | IMPERATIVE_VERB","2116","",""
"chair | כיסא","NOUN","2117","",""
"bureau | dresser | שידה","NOUN","2118","",""
"drawer | דושיט","NOUN","2119","",""
"ramp | קצוף","NOUN","2120","",""
"word | מילה","NOUN","2121","",""
"stump | גזע","NOUN","2122","",""
"rat | עכברוש | חולדה | לחולדה | לעכברוש","NOUN","2123","",""
"priority | דיחוי","NOUN","2124","",""
"keyhole | כטחודה","NOUN","2125","",""
"sky | שמים","NOUN","2126","","",""
"var | משתנה","NOUN","2127","",""
"pew | זזיף","NOUN","2128","",""
"finger | אצבע","NOUN","2129","",""
"bottom | דשטח","NOUN","2130","",""
"beach | חוף","NOUN","2131","",""
"walnut$tree | אגוז$עץ | האגוז@עץ","NOUN","2132","",""
"pocket | כיס","NOUN","2133","",""
"mikel | מיכאל","NOUN","2134","",""
"pine$tree | עץ$אורן | אורן@עץ","NOUN","2135","",""
"lake | pond | אגם","NOUN","2136","",""
"oak | אלון","NOUN","2137","",""
"view | הטיפה","NOUN","2138","",""
"curtain | ידה","NOUN","2139","",""
"shelf | מדף","NOUN","2140","",""
"ceiling | roof | פזגיה","NOUN","2141","",""
"wall | קיר","NOUN","2142","",""
"beaver | עבודטה","NOUN","2143","",""
"path | trail | נתיבה","NOUN","2144","",""
"bedroom","NOUN","2145","",""
"mold | פטרייה | פטריה","NOUN","2146","",""
"tunnel | מנהרה | מחילה","NOUN","2147","",""
"side | צד","NOUN","2148","",""
"circle | מעגל","NOUN","2149","",""
"match | התאמה","NOUN","2150","","",""
"flashlight | פטטריט","NOUN","2151","",""
"flame | להבה","NOUN","2152","",""
"cliff | צוק","NOUN","2153","",""
"animal | creature | monster | חיוה","NOUN","2154","",""
"jig | music | מוזיקה","NOUN","2155","",""
"frosting | icing | עיצוך","NOUN","2156","",""
"cookie | עוגייה","NOUN","2157","",""
"chimney | ארובה","NOUN","2158","",""
"bar | כנזדק","NOUN","2159","",""
"caldron | cauldron | pot | סירה","NOUN","2160","",""
"smoke | steam | עשן","NOUN","2161","",""
"stool | בנק","NOUN","2162","",""
"hinge | צקטה","NOUN","2163","",""
"leaf | עלה","NOUN","2164","",""
"pillar | sculpture | statue | פסל","NOUN","2165","",""
"guard | שומר","NOUN","2166","",""
"sunlight | אור","NOUN","2167","",""
"timber | wood | עצימ","NOUN","2168","",""
"beam | column | קירטה","NOUN","2169","",""
"cattails | חבטות","NOUN","2170","",""
"vegetation | ירקה","NOUN","2171","",""
"clearing | meadow | טולה","NOUN","2172","",""
"pine | אטטה","NOUN","2173","",""
"rapid | דטדעט","NOUN","2174","",""
"bank | shore | גדה","NOUN","2175","",""
"delta | דלטה","NOUN","2176","",""
"board | lumber | דסיח","NOUN","2177","",""
"serpent | נחש | נחשים","NOUN","2178","",""
"catwalk | walkway | משדרדה","NOUN","2179","",""
"trough | ין","NOUN","2180","",""
"crossing | פנייה","NOUN","2181","",""
"underbrush | דבטפה","NOUN","2182","",""
"porch | מזרטה","NOUN","2183","",""
"carpet | rug | שטיח","NOUN","2184","",""
"birch | בקטה","NOUN","2185","",""
"sunbeam | קרןאור","NOUN","2186","",""
"drip | טטציח","NOUN","2187","",""
"arc | arch | קשת","NOUN","2188","",""
"butterfly | insect | פרפר","NOUN","2189","",""
"fish | דגה","NOUN","2190","",""
"turret | מגדל","NOUN","2191","",""
"baby | תינוק","NOUN","2192","",""
"chick | אפרוח","NOUN","2193","",""
"squirrel | סנאיה","NOUN","2194","",""
"snake | נחש","NOUN","2195","",""
"pitcher | דודיט","NOUN","2196","",""
"toll | מס","NOUN","2197","",""
"fog | mist | טמטום","NOUN","2198","",""
"tongue | לשון","NOUN","2199","","",""
"swamp | בצורה","NOUN","2200","",""
"sea | ים","NOUN","2201","",""
"gas | גז","NOUN","2202","",""
"slime | חטטאה","NOUN","2203","",""
"endtable | nightstand","NOUN","2204","",""
"ivy | פטם","NOUN","2205","",""
"vine | גפן","NOUN","2206","",""
"sidewalk | קטיסם","NOUN","2207","",""
"crank | מכאניזם","NOUN","2208","",""
"handle | ידית","NOUN","2209","",""
"hay | straw | דשדשה","NOUN","2210","",""
"heap | mound | pile | גדיש","NOUN","2211","",""
"wheel | גלגל","NOUN","2212","",""
"planter | urn | vase | ואזה","NOUN","2213","",""
"hole | חור | בור","NOUN","2214","",""
"reflection | השקף","NOUN","2215","",""
"brew | goop | גטם","NOUN","2216","",""
"liquid | נוזל","NOUN","2217","",""
"edward | אדוארד","NOUN","2218","",""
"content | תוכן","NOUN","2219","",""
"feature | מאפיין","NOUN","2220","",""
"dust | אבק","NOUN","2221","",""
"gold | זהב","NOUN | ADJECTIVE","2222","",""
"bread | לחם","NOUN","2223","",""
"aroma | ריח","NOUN","2224","","",""
"granite | צובה","NOUN","2225","",""
"boy | נער","NOUN","2226","",""
"glow | דמומית","NOUN","2227","",""
"sand | חול","NOUN","2228","",""
"brick | לבניה","NOUN","2229","",""
"cane | מטרטטה","NOUN","2230","",""
"cobweb | web | רשת","NOUN","2231","",""
"gumdrop | פטטטה","NOUN","2232","",""
"puddle | ברכה","NOUN","2233","",""
